"00021"|"00003"|"003"|"SIA"|"Southern iota Aquariids                 "|" annual "|"-2"|"135.6  "|"337.5  "|"-13.3  "|"       "|"       "|"28.9   "|"1.54   "|"0.260  "|"0.830  "|"129.9  "|"315.6  "|"5.3    "|"00102"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"4) Jenniskens et al., 2018 sub. to PSS"|"LT"|"SD"
"00022"|"00004"|"000"|"GEM"|"Geminids                                "|" annual "|" 1"|"262.1  "|"113.2  "|"32.5   "|"1.02   "|"-0.15  "|"34.58  "|"1.372  "|"0.1410 "|"       "|"324.42 "|"261.49 "|"24.02  "|"00221"|"00000"|"00"|"3200 Phaethon (=1983 TB)                "|"                                                                                                                                                      "|"P   "|"1) Dutch Meteor Society 2001"|"LT"|"SD"
"00023"|"00004"|"001"|"GEM"|"Geminids                                "|" annual "|" 1"|"261.6  "|"112.9  "|"32.3   "|"       "|"       "|"34.6   "|"       "|"0.141  "|"0.898  "|"324.2  "|"261.6  "|"23.5   "|"00051"|"00000"|"00"|"3200 Phaethon (=1983 TB)                "|"                                                                                                                                                      "|"P   "|"2) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
"00024"|"00004"|"002"|"GEM"|"Geminids                                "|"2002/06 "|" 1"|"261.5  "|"112.8  "|"32.1   "|"1.10   "|"-0.17  "|"35     "|"1.416  "|"0.136  "|"0.904  "|"324.6  "|"261.3  "|"24.0   "|"04384"|"00000"|"00"|"3200 Phaethon (=1983 TB)                "|"                                                                                                                                                      "|"R   "|"3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD"
"00025"|"00004"|"003"|"GEM"|"Geminids                                "|"2007/08 "|" 1"|"261.4  "|"112.8  "|"32.3   "|"0.90   "|"-0.19  "|"33.5   "|"       "|"       "|"       "|"       "|"       "|"       "|"02510"|"00000"|"00"|"3200 Phaethon (=1983 TB)                "|"                                                                                                                                                      "|"T   "|"4) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>"|"LT"|"SD"
"00026"|"00004"|"004"|"GEM"|"Geminids                                "|"2002/08 "|" 1"|"261    "|"112.5  "|"32.1   "|"1.12   "|"-0.17  "|"34.5   "|"1.35   "|"0.1373 "|"0.898  "|"324.95 "|"261.0  "|"23.2   "|"09999"|"00000"|"00"|"3200 Phaethon (=1983 TB)                "|"                                                                                                                                                      "|"R   "|"5) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"|"LT"|"SD"
"00027"|"00004"|"005"|"GEM"|"Geminids                                "|" annual "|" 1"|"262.0  "|"113.5  "|"32.3   "|"1.15   "|"-0.16  "|"33.8   "|"1.31   "|"0.145  "|"0.889  "|"324.3  "|"261.7  "|"22.9   "|"04895"|"00000"|"00"|"(3200) Phaethon                         "|"                                                                                                                                                      "|"T   "|"6) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>"|"LT"|"SD"
"00028"|"00004"|"006"|"GEM"|"Geminids                                "|" annual "|"-2"|"260.8  "|"112.1  "|"32.5   "|"       "|"       "|"34.1   "|"1.33   "|"0.144  "|"0.891  "|"324.3  "|"260.8  "|"23.3   "|"14850"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"7) Jenniskens et al., 2018 sub. to PSS"|"LT"|"SD"
"00029"|"00005"|"000"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"125.6  "|"342.1  "|"-15.4  "|"       "|"       "|"40.5   "|"3.107  "|"0.087  "|"       "|"148.9  "|"312.2  "|"26.4   "|"     "|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"P   "|"1) Dutch Meteor Society 2001"|"LT"|"SD"
"00030"|"00005"|"001"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"127.2  "|"340.4  "|"-16.3  "|"0.73   "|"0.26   "|"40.2   "|"       "|"0.067  "|"0.966  "|"154.5  "|"307.2  "|"30.8   "|"02413"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"R   "|"2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A>"|"LT"|"SD"
